FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG
gui_x11.c,1577,int gui_mch_open(void),5.1631203,3.8297873,1.1666666,0.16666667,47,30,41,6,7,7,1,0
channel.c,1407,static int can_write_buf_line(channel_T * channel),5.157895,3.1578948,1.0,1.0,57,45,92,4,4,3,4,2
ex_cmds2.c,4355,char_u * get_mess_lang(void),5.15,3.75,1.0,0.4,24,18,25,5,5,3,2,2
normal.c,7446,static void nv_pcmark(cmdarg_T * cap),5.1444445,3.6444445,1.0,0.5,45,41,53,4,4,2,2,1
ex_docmd.c,7341,static void ex_popup(exarg_T * eap),5.142857,2.142857,2.0,1.0,14,10,26,3,6,3,3,0
eval.c,4241,"static int eval6(char_u * * arg, typval_T * rettv, int evaluate, int want_string)",5.1204967,3.8347828,1.0,0.2857143,115,63,79,7,7,2,2,1
os_unix.c,2021,static void set_x11_title(char_u * title),5.103704,3.7037036,1.0,0.4,27,20,32,5,5,3,2,2
os_unix.c,2060,static void set_x11_icon(char_u * icon),5.103704,3.7037036,1.0,0.4,27,20,32,5,5,3,2,2
ops.c,4095,int preprocs_left(void),5.0882354,2.5882354,1.5,1.0,17,11,23,4,6,2,4,1
gui.c,3069,"void gui_send_mouse_event(int button, int x, int y, int repeated_click, int_u modifiers)",5.0404434,3.6118722,1.1428572,0.2857143,219,113,123,7,8,6,2,0
option.c,10859,void comp_col(void),5.029412,3.5294118,1.0,0.5,34,30,37,4,4,2,2,2
ui.c,27,"void ui_write(char_u * s, int len)",5.0,3.5,1.0,0.5,32,28,41,4,4,3,2,3
ex_cmds.c,2235,static char_u * viminfo_filename(char_u * file),4.977778,2.777778,1.0,1.2,36,20,38,5,5,3,6,2
gui_gtk.c,1335,"char_u * gui_mch_browsedir(char_u * title, char_u * initdir)",4.9666667,3.4666667,1.0,0.5,45,39,48,4,4,2,2,2
screen.c,11085,void showruler(int always),4.95,3.75,1.0,0.2,32,24,28,5,5,4,1,0
os_unix.c,3554,"int get_tty_info(int fd, ttyinfo_T * info)",4.9444447,3.4444444,1.0,0.5,36,31,38,4,4,2,2,2
syntax.c,8315,static void highlight_clear(int idx),4.9333334,3.3333335,1.4,0.2,42,28,42,5,7,4,1,0
main.c,2551,static void check_tty(mparm_T * parmp),4.885185,2.685185,1.6,0.6,54,29,86,5,8,7,3,1
channel.c,3223,"static channel_wait_result channel_wait(channel_T * channel, sock_T fd, int timeout)",4.85,3.6,1.0,0.25,90,81,87,4,4,3,1,1
term.c,3813,void setmouse(void),4.8397436,3.5897436,1.0,0.25,39,35,39,4,4,3,1,0
evalfunc.c,9630,"static void f_remote_read(typval_T * argvars UNUSED, typval_T * rettv)",4.8166666,3.0666666,1.0,0.75,30,23,37,4,4,2,3,1
ui.c,1899,int clip_gen_owner_exists(Clipboard_T * cbd UNUSED),4.8095236,2.142857,2.0,0.6666667,14,10,32,3,6,3,2,1
evalfunc.c,9682,"static void f_remote_startserver(typval_T * argvars UNUSED, typval_T * rettv UNUSED)",4.772727,3.2727273,1.0,0.5,22,18,26,4,4,2,2,2
menu.c,2022,"static void gui_update_menus_recurse(vimmenu_T * menu, int mode)",4.75,2.0,2.25,0.5,30,15,41,4,9,5,2,1
netbeans.c,2337,void ex_nbstart(exarg_T * eap),4.7,1.2,2.0,1.5,15,9,30,2,4,4,3,3
gui_gtk_x11.c,6153,"void gui_mch_draw_part_cursor(int w, int h, guicolor_T color)",4.6764708,3.1764705,1.0,0.5,34,27,34,4,4,2,2,1
ex_docmd.c,8218,static void ex_redir(exarg_T * eap),4.5333333,3.3333335,1.0,0.2,105,70,74,5,5,3,1,0
misc1.c,1523,void vim_beep(unsigned val),4.5128202,3.3461537,1.0,0.16666667,52,29,32,6,6,5,1,0
main.c,3609,static void set_progpath(char_u * argv0),4.5,3.25,1.0,0.25,32,26,37,4,4,2,1,1
ui.c,495,int ui_char_avail(void),4.45,3.2,1.0,0.25,20,16,21,4,4,3,1,2
term.c,3524,void settmode(int tmode),4.427536,3.2608695,1.0,0.16666667,46,25,28,6,6,4,1,0
gui_gtk_x11.c,2995,static int get_menu_tool_width(void),4.416667,2.6666667,1.0,0.75,18,12,22,4,4,4,3,0
gui_motif.c,3387,void gui_motif_menu_fontlist(Widget id UNUSED),4.387597,2.7209303,1.0,0.6666667,43,39,77,3,3,2,2,1
evalfunc.c,9355,"static void f_reltime(typval_T * argvars UNUSED, typval_T * rettv UNUSED)",4.3508773,2.6842105,1.0,0.6666667,38,34,42,3,3,2,2,1
memline.c,967,"static void set_b0_fname(ZERO_BL * b0p, buf_T * buf)",4.3272724,2.7272727,1.4,0.2,55,30,59,5,7,4,1,1
evalfunc.c,12888,"static void f_synIDattr(typval_T * argvars UNUSED, typval_T * rettv)",4.315789,1.8157895,1.5,1.0,76,69,79,2,3,3,2,0
os_mswin.c,603,void display_errors(void),4.291667,2.625,1.3333334,0.33333334,32,28,34,3,4,2,1,1
regexp_nfa.c,6973,"static long nfa_regtry(nfa_regprog_T * prog, colnr_T col, proftime_T * tm UNUSED, int * timed_out UNUSED)",4.2701144,3.1034482,1.0,0.16666667,116,60,63,6,6,4,1,0
os_mswin.c,1077,"static PDP_RETVAL CALLBACK PrintDlgProc(HWND hDlg, UINT message, WPARAM wParam UNUSED, LPARAM lParam UNUSED)",4.257143,2.857143,1.2,0.2,63,36,45,5,6,3,1,1
if_mzsch.c,986,"static int mzscheme_env_main(Scheme_Env * env, int argc UNUSED, char * * argv UNUSED)",4.236842,2.7368422,1.0,0.5,19,13,24,4,4,2,2,2
option.c,6129,"static char * set_string_option(int opt_idx, char_u * value, int opt_flags)",4.1577463,2.9577465,1.0,0.2,71,42,45,5,5,2,1,0
getchar.c,3119,"int fix_input_buffer(char_u * buf, int len)",4.12766,2.1276596,1.5,0.5,47,25,52,4,6,3,2,2
evalfunc.c,9550,"static void f_remote_foreground(typval_T * argvars UNUSED, typval_T * rettv UNUSED)",4.095238,2.4285715,1.0,0.6666667,21,17,33,3,3,2,2,1
misc1.c,2837,char_u * get_past_head(char_u * path),4.0454545,2.5454545,1.0,0.5,22,14,23,4,4,2,2,2
gui_athena.c,893,static void gui_athena_menu_font(Widget id),4.025641,2.6923077,1.0,0.33333334,39,35,41,3,3,2,1,1
os_mswin.c,272,"void mch_settitle(char_u * title, char_u * icon)",3.9743588,2.3076923,1.3333334,0.33333334,26,20,34,3,4,2,1,1
menu.c,1041,static void free_menu(vimmenu_T * * menup),3.9419355,2.7419355,1.0,0.2,31,17,20,5,5,4,1,0
os_unix.c,4280,"void may_send_sigint(int c UNUSED, pid_t pid UNUSED, pid_t wpid UNUSED)",3.9166667,2.25,1.0,0.6666667,16,12,18,3,3,2,2,1
evalfunc.c,10870,"static void f_server2client(typval_T * argvars UNUSED, typval_T * rettv)",3.871795,2.5384617,1.0,0.33333334,26,22,27,3,3,2,1,1
os_mswin.c,252,int mch_input_isatty(void),3.8666666,2.2,1.3333334,0.33333334,15,11,19,3,4,2,1,1
os_unix.c,3192,void mch_early_init(void),3.8666666,2.2,1.3333334,0.33333334,15,11,18,3,4,4,1,0
message.c,2550,int msg_use_printf(void),3.8333333,1.5,1.6666666,0.6666667,14,7,27,3,5,3,2,2
os_win32.c,2778,"int mch_check_win(int argc UNUSED, char * * argv UNUSED)",3.8333333,1.8333333,1.6666666,0.33333334,18,11,28,3,5,2,1,3
gui_photon.c,1102,int gui_mch_init(void),3.8086956,2.6086955,1.0,0.2,115,60,76,5,5,4,1,2
term.c,3611,void stoptermcap(void),3.807143,2.057143,1.0,0.75,35,18,28,4,4,4,3,0
gui_motif.c,1520,"static void submenu_change(vimmenu_T * menu, int colors)",3.7115386,2.4615386,1.0,0.25,65,40,51,4,4,3,1,0
misc1.c,2373,"char_u * get_env_name(expand_T * xp UNUSED, int idx)",3.6904762,2.357143,1.0,0.33333334,28,22,26,3,3,2,1,2
os_unix.c,3955,int mch_get_shellsize(void),3.6813726,2.4313726,1.0,0.25,51,31,45,4,4,3,1,1
fileio.c,3000,"int check_file_readonly(char_u * fname, int perm)",3.65,2.4,1.0,0.25,20,12,16,4,4,2,1,2
memline.c,2102,"struct tm * vim_localtime(const time_t * timep, struct tm * result)",3.5151515,2.1818182,1.0,0.33333334,22,16,28,3,3,2,1,1
beval.c,146,"void post_balloon(BalloonEval * beval UNUSED, char_u * mesg, list_T * list UNUSED)",3.4761903,2.142857,1.0,0.33333334,14,10,13,3,3,3,1,0
ui.c,1827,int clip_gen_own_selection(Clipboard_T * cbd),3.4761903,2.142857,1.0,0.33333334,14,10,16,3,3,2,1,1
ui.c,1842,void clip_gen_lose_selection(Clipboard_T * cbd),3.4761903,2.142857,1.0,0.33333334,14,10,16,3,3,2,1,1
ui.c,1883,void clip_gen_request_selection(Clipboard_T * cbd),3.4761903,2.142857,1.0,0.33333334,14,10,16,3,3,2,1,1
gui.c,176,static void gui_attempt_start(void),3.4666667,1.8000001,1.3333334,0.33333334,25,15,33,3,4,3,1,0
os_win32.c,6449,void mch_breakcheck(int force),3.4666667,1.4666667,1.5,0.5,15,11,25,2,3,2,1,1
os_beos.c,82,"int beos_select(int nbits, struct fd_set * rbits, struct fd_set * wbits, struct fd_set * ebits, struct timeval * timeout)",3.4597702,1.7931035,1.0,0.6666667,87,52,67,3,3,2,2,0
menu.c,2611,void ex_menutranslate(exarg_T * eap UNUSED),3.378788,1.8787879,1.0,0.5,66,62,65,2,2,2,1,0
evalfunc.c,5433,"static void f_getmatches(typval_T * argvars UNUSED, typval_T * rettv UNUSED)",3.3644068,1.8644068,1.0,0.5,59,55,63,2,2,2,1,0
evalfunc.c,10899,"static void f_serverlist(typval_T * argvars UNUSED, typval_T * rettv)",3.3541667,1.6875,1.0,0.6666667,16,9,17,3,3,2,2,1
gui_gtk.c,920,void gui_mch_destroy_menu(vimmenu_T * menu),3.276423,1.6097562,1.0,0.6666667,41,22,36,3,3,2,2,1
os_win32.c,7251,static void vtp_flag_init(void),3.25,1.25,1.5,0.5,24,15,33,2,3,2,1,1
